treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
object category "T_ST_AMER_UNI",1,0,0,0,0,0,0,1
new treasuretable "ST_AMER_UNI_Quest_5"
new subtable "5,1"
object category "T_ST_AMER_UNI",1,0,0,0,0,0,0,1
new treasuretable "AMER_GEN_Wand_Common"
new subtable "1,1"
object category "T_ST_WandNormal",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Wand_Uncommon"
new subtable "1,1"
object category "T_ST_WandNormal",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Wand_Rare"
new subtable "1,1"
object category "T_ST_WandNormal",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Wand_Epic"
new subtable "1,1"
object category "T_ST_WandNormal",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Wand_Legendary"
new subtable "1,1"
object category "T_ST_WandNormal",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Wand_Divine"
new subtable "1,1"
object category "T_ST_WandNormal",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Staff_Common"
new subtable "1,1"
object category "T_ST_StaffNormal",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Staff_Uncommon"
new subtable "1,1"
object category "T_ST_StaffNormal",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Staff_Rare"
new subtable "1,1"
object category "T_ST_StaffNormal",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Staff_Epic"
new subtable "1,1"
object category "T_ST_StaffNormal",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Staff_Legendary"
new subtable "1,1"
object category "T_ST_StaffNormal",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Staff_Divine"
new subtable "1,1"
object category "T_ST_StaffNormal",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Axe_2H_Common"
new subtable "1,1"
object category "TwoHandedAxe",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Axe_2H_Uncommon"
new subtable "1,1"
object category "TwoHandedAxe",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Axe_2H_Rare"
new subtable "1,1"
object category "TwoHandedAxe",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Axe_2H_Epic"
new subtable "1,1"
object category "TwoHandedAxe",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Axe_2H_Legendary"
new subtable "1,1"
object category "TwoHandedAxe",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Axe_2H_Divine"
new subtable "1,1"
object category "TwoHandedAxe",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Sword_2H_Common"
new subtable "1,1"
object category "TwoHandedSword",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Sword_2H_Uncommon"
new subtable "1,1"
object category "TwoHandedSword",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Sword_2H_Rare"
new subtable "1,1"
object category "TwoHandedSword",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Sword_2H_Epic"
new subtable "1,1"
object category "TwoHandedSword",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Sword_2H_Legendary"
new subtable "1,1"
object category "TwoHandedSword",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Sword_2H_Divine"
new subtable "1,1"
object category "TwoHandedSword",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Club_2H_Common"
new subtable "1,1"
object category "TwoHandedMace",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Club_2H_Uncommon"
new subtable "1,1"
object category "TwoHandedMace",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Club_2H_Rare"
new subtable "1,1"
object category "TwoHandedMace",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Club_2H_Epic"
new subtable "1,1"
object category "TwoHandedMace",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Club_2H_Legendary"
new subtable "1,1"
object category "TwoHandedMace",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Club_2H_Divine"
new subtable "1,1"
object category "TwoHandedMace",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Spear_Common"
new subtable "1,1"
object category "Spear",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Spear_Uncommon"
new subtable "1,1"
object category "Spear",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Spear_Rare"
new subtable "1,1"
object category "Spear",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Spear_Epic"
new subtable "1,1"
object category "Spear",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Spear_Legendary"
new subtable "1,1"
object category "Spear",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Spear_Divine"
new subtable "1,1"
object category "Spear",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Crossbow_Common"
new subtable "1,1"
object category "Crossbow",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Crossbow_Uncommon"
new subtable "1,1"
object category "Crossbow",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Crossbow_Rare"
new subtable "1,1"
object category "Crossbow",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Crossbow_Epic"
new subtable "1,1"
object category "Crossbow",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Crossbow_Legendary"
new subtable "1,1"
object category "Crossbow",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Crossbow_Divine"
new subtable "1,1"
object category "Crossbow",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Bow_Common"
new subtable "1,1"
object category "Bow",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Bow_Uncommon"
new subtable "1,1"
object category "Bow",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Bow_Rare"
new subtable "1,1"
object category "Bow",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Bow_Epic"
new subtable "1,1"
object category "Bow",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Bow_Legendary"
new subtable "1,1"
object category "Bow",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Bow_Divine"
new subtable "1,1"
object category "Bow",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Axe_Common"
new subtable "1,1"
object category "Axe",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Axe_Uncommon"
new subtable "1,1"
object category "Axe",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Axe_Rare"
new subtable "1,1"
object category "Axe",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Axe_Epic"
new subtable "1,1"
object category "Axe",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Axe_Legendary"
new subtable "1,1"
object category "Axe",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Axe_Divine"
new subtable "1,1"
object category "Axe",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Sword_Common"
new subtable "1,1"
object category "Sword",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Sword_Uncommon"
new subtable "1,1"
object category "Sword",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Sword_Rare"
new subtable "1,1"
object category "Sword",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Sword_Epic"
new subtable "1,1"
object category "Sword",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Sword_Legendary"
new subtable "1,1"
object category "Sword",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Sword_Divine"
new subtable "1,1"
object category "Sword",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Club_Common"
new subtable "1,1"
object category "Club",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Club_Uncommon"
new subtable "1,1"
object category "Club",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Club_Rare"
new subtable "1,1"
object category "Club",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Club_Epic"
new subtable "1,1"
object category "Club",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Club_Legendary"
new subtable "1,1"
object category "Club",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Club_Divine"
new subtable "1,1"
object category "Club",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Knife_Common"
new subtable "1,1"
object category "Dagger",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Knife_Uncommon"
new subtable "1,1"
object category "Dagger",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Knife_Rare"
new subtable "1,1"
object category "Dagger",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Knife_Epic"
new subtable "1,1"
object category "Dagger",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Knife_Legendary"
new subtable "1,1"
object category "Dagger",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Knife_Divine"
new subtable "1,1"
object category "Dagger",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Shield_Common"
new subtable "1,1"
object category "Shield",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Shield_Uncommon"
new subtable "1,1"
object category "Shield",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Shield_Rare"
new subtable "1,1"
object category "Shield",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Shield_Epic"
new subtable "1,1"
object category "Shield",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Shield_Legendary"
new subtable "1,1"
object category "Shield",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Shield_Divine"
new subtable "1,1"
object category "Shield",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Breast_Mage_Common"
new subtable "1,1"
object category "MageUpperBody",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Breast_Mage_Uncommon"
new subtable "1,1"
object category "MageUpperBody",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Breast_Mage_Rare"
new subtable "1,1"
object category "MageUpperBody",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Breast_Mage_Epic"
new subtable "1,1"
object category "MageUpperBody",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Breast_Mage_Legendary"
new subtable "1,1"
object category "MageUpperBody",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Breast_Mage_Divine"
new subtable "1,1"
object category "MageUpperBody",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Breast_Light_Common"
new subtable "1,1"
object category "LightUpperBody",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Breast_Light_Uncommon"
new subtable "1,1"
object category "LightUpperBody",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Breast_Light_Rare"
new subtable "1,1"
object category "LightUpperBody",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Breast_Light_Epic"
new subtable "1,1"
object category "LightUpperBody",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Breast_Light_Legendary"
new subtable "1,1"
object category "LightUpperBody",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Breast_Light_Divine"
new subtable "1,1"
object category "LightUpperBody",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Breast_Heavy_Common"
new subtable "1,1"
object category "HeavyUpperBody",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Breast_Heavy_Uncommon"
new subtable "1,1"
object category "HeavyUpperBody",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Breast_Heavy_Rare"
new subtable "1,1"
object category "HeavyUpperBody",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Breast_Heavy_Epic"
new subtable "1,1"
object category "HeavyUpperBody",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Breast_Heavy_Legendary"
new subtable "1,1"
object category "HeavyUpperBody",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Breast_Heavy_Divine"
new subtable "1,1"
object category "HeavyUpperBody",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Breast_Common"
new subtable "1,1"
StartLevel "1"
EndLevel "2"
object category "MageUpperBody",1,1,0,0,0,0,0,0
object category "LightUpperBody",1,1,0,0,0,0,0,0
new subtable "1,1"
StartLevel "2"
object category "MageUpperBody",1,1,0,0,0,0,0,0
object category "LightUpperBody",1,1,0,0,0,0,0,0
object category "HeavyUpperBody",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Breast_Uncommon"
new subtable "1,1"
object category "T_AMER_GEN_Breast_Common",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Breast_Rare"
new subtable "1,1"
object category "T_AMER_GEN_Breast_Common",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Breast_Epic"
new subtable "1,1"
object category "T_AMER_GEN_Breast_Common",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Breast_Legendary"
new subtable "1,1"
object category "T_AMER_GEN_Breast_Common",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Breast_Divine"
new subtable "1,1"
object category "T_AMER_GEN_Breast_Common",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Helmet_Mage_Common"
new subtable "1,1"
object category "MageHelmet",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Helmet_Mage_Uncommon"
new subtable "1,1"
object category "MageHelmet",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Helmet_Mage_Rare"
new subtable "1,1"
object category "MageHelmet",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Helmet_Mage_Epic"
new subtable "1,1"
object category "MageHelmet",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Helmet_Mage_Legendary"
new subtable "1,1"
object category "MageHelmet",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Helmet_Mage_Divine"
new subtable "1,1"
object category "MageHelmet",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Helmet_Light_Common"
new subtable "1,1"
object category "LightHelmet",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Helmet_Light_Uncommon"
new subtable "1,1"
object category "LightHelmet",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Helmet_Light_Rare"
new subtable "1,1"
object category "LightHelmet",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Helmet_Light_Epic"
new subtable "1,1"
object category "LightHelmet",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Helmet_Light_Legendary"
new subtable "1,1"
object category "LightHelmet",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Helmet_Light_Divine"
new subtable "1,1"
object category "LightHelmet",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Helmet_Heavy_Common"
new subtable "1,1"
object category "HeavyHelmet",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Helmet_Heavy_Uncommon"
new subtable "1,1"
object category "HeavyHelmet",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Helmet_Heavy_Rare"
new subtable "1,1"
object category "HeavyHelmet",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Helmet_Heavy_Epic"
new subtable "1,1"
object category "HeavyHelmet",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Helmet_Heavy_Legendary"
new subtable "1,1"
object category "HeavyHelmet",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Helmet_Heavy_Divine"
new subtable "1,1"
object category "HeavyHelmet",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Helmet_Common"
new subtable "1,1"
StartLevel "1"
EndLevel "2"
object category "MageHelmet",1,1,0,0,0,0,0,0
object category "LightHelmet",1,1,0,0,0,0,0,0
new subtable "1,1"
StartLevel "2"
object category "MageHelmet",1,1,0,0,0,0,0,0
object category "LightHelmet",1,1,0,0,0,0,0,0
object category "HeavyHelmet",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Helmet_Uncommon"
new subtable "1,1"
object category "T_AMER_GEN_Helmet_Common",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Helmet_Rare"
new subtable "1,1"
object category "T_AMER_GEN_Helmet_Common",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Helmet_Epic"
new subtable "1,1"
object category "T_AMER_GEN_Helmet_Common",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Helmet_Legendary"
new subtable "1,1"
object category "T_AMER_GEN_Helmet_Common",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Helmet_Divine"
new subtable "1,1"
object category "T_AMER_GEN_Helmet_Common",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Gloves_Mage_Common"
new subtable "1,1"
object category "MageGloves",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Gloves_Mage_Uncommon"
new subtable "1,1"
object category "MageGloves",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Gloves_Mage_Rare"
new subtable "1,1"
object category "MageGloves",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Gloves_Mage_Epic"
new subtable "1,1"
object category "MageGloves",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Gloves_Mage_Legendary"
new subtable "1,1"
object category "MageGloves",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Gloves_Mage_Divine"
new subtable "1,1"
object category "MageGloves",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Gloves_Light_Common"
new subtable "1,1"
object category "LightGloves",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Gloves_Light_Uncommon"
new subtable "1,1"
object category "LightGloves",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Gloves_Light_Rare"
new subtable "1,1"
object category "LightGloves",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Gloves_Light_Epic"
new subtable "1,1"
object category "LightGloves",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Gloves_Light_Legendary"
new subtable "1,1"
object category "LightGloves",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Gloves_Light_Divine"
new subtable "1,1"
object category "LightGloves",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Gloves_Heavy_Common"
new subtable "1,1"
object category "HeavyGloves",1,1,0,0,0,0,0,0
new treasuretable "AMER_GEN_Gloves_Heavy_Uncommon"
new subtable "1,1"
object category "HeavyGloves",1,0,1,0,0,0,0,0
new treasuretable "AMER_GEN_Gloves_Heavy_Rare"
new subtable "1,1"
object category "HeavyGloves",1,0,0,1,0,0,0,0
new treasuretable "AMER_GEN_Gloves_Heavy_Epic"
new subtable "1,1"
object category "HeavyGloves",1,0,0,0,1,0,0,0
new treasuretable "AMER_GEN_Gloves_Heavy_Legendary"
new subtable "1,1"
object category "HeavyGloves",1,0,0,0,0,1,0,0
new treasuretable "AMER_GEN_Gloves_Heavy_Divine"
new subtable "1,1"
object category "HeavyGloves",1,0,0,0,0,0,1,0
new treasuretable "AMER_GEN_Gloves_Common"
new subtable "1,1"
StartLevel "1"
EndLevel "2"
object category "MageGloves",1,1,0,0,0,0,0,0
object category "LightGloves",1,1,0,0,0,0,0,0
new subtable "1,1"
StartLevel "2"
