AMER_UI_Ascension_Force_TheFalcon_Title	<font color='ebc808' size='30'>The Falcon</font>
AMER_UI_Ascension_Force_TheFalcon_Node_1.3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Scoundrel.</p>
AMER_UI_Ascension_Force_TheFalcon_Node_1.4	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Warfare.</p>
AMER_UI_Ascension_Force_TheFalcon_Node_2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Gain:</font><br><font color='cb9780'>  »</font> +6% Damage.<br><br><font color='a8a8a8' size='21' face='Averia Serif'>Additionally, you may choose from:</font><br><font color='ebc808' size='21'>1) </font>+1 Dual Wielding.<br><font color='ebc808' size='21'>2) </font>+1 Ranged.<br><font color='ebc808' size='21'>3) </font>+1 Single-Handed.<br><font color='ebc808' size='21'>4) </font>+1 Two-Handed.</p>
AMER_UI_Ascension_Force_TheFalcon_Node_2.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Dual Wielding.</p>
AMER_UI_Ascension_Force_TheFalcon_Node_2.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Ranged.</p>
AMER_UI_Ascension_Force_TheFalcon_Node_2.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Single-Handed.</p>
AMER_UI_Ascension_Force_TheFalcon_Node_2.3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Two-Handed.</p>
AMER_UI_Ascension_Force_TheFalcon_Node_3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font><font color="ebc808" size="20" face="Averia Serif">Elementalist</font> reactions can be performed when an ally targets an enemy or point you can see with a Geomancer or Pyrokinetic skill. The reaction deals earth or fire damage, respectively.<br><font color='ebc808' size='21'>2) </font><font color="ebc808" size="20" face="Averia Serif">Predator</font> reactions can be performed, once per round, when an enemy you can see reaches Battered or Harried 7 (or higher).</p>
AMER_UI_Ascension_Force_TheFalcon_Node_3.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> <font color="ebc808" size="20" face="Averia Serif">Elementalist</font> reactions can be performed when an ally targets an enemy or point you can see with a Geomancer or Pyrokinetic skill. The reaction deals earth or fire damage, respectively.</p>
AMER_UI_Ascension_Force_TheFalcon_Node_3.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> <font color="ebc808" size="20" face="Averia Serif">Predator</font> reactions can be performed, once per round, when an enemy you can see reaches Battered or Harried 7 (or higher).</p>
AMER_UI_Ascension_Force_TheFalcon_Node_4	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font>Earth and fire <font color="ebc808" size="20" face="Averia Serif">Elementalist</font> reactions apply Calcifying and Scorched for 2 turns, respectively.<br><font color='ebc808' size='21'>2) </font><font color="ebc808" size="20" face="Averia Serif">Predator</font> reactions apply up to Slowed II for 2 turns.<br><font color='ebc808' size='21'>3) </font>+1 free Elementalist reaction per round.<br><font color='ebc808' size='21'>4) </font>+1 free Predator reaction per round.<br><font color='ebc808' size='21'>5) </font>Spellcaster Finesse; select node for details.</p>
AMER_UI_Ascension_Force_TheFalcon_Node_4.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> Earth and fire <font color="ebc808" size="20" face="Averia Serif">Elementalist</font> reactions apply Calcifying and Scorched for 2 turns, respectively.</p>
AMER_UI_Ascension_Force_TheFalcon_Node_4.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> <font color="ebc808" size="20" face="Averia Serif">Predator</font> reactions apply up to Slowed II for 2 turns.</p>
AMER_UI_Ascension_Force_TheFalcon_Node_4.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 free Elementalist reaction per round.</p>
AMER_UI_Ascension_Force_TheFalcon_Node_4.3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 free Predator reaction per round.</p>
AMER_UI_Ascension_Force_TheFalcon_Node_4.4	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> Aerotheurge, Geomancer, Hydrosophist, Necromancer, Pyromancer, and Summoning skills activate Finesse's AP recovery effect, but your basic attacks no longer activate this effect.</p>
AMER_UI_Ascension_Force_TheHatchet_Title	<font color='ebc808' size='30'>The Hatchet</font>
AMER_UI_Ascension_Force_TheHatchet_Desc_A	"Unity of muscle and steel separating life and limb."<br><br><font color='a8a8a8' size='21' face='Averia Serif'>Click on a node to view its properties.</font>
AMER_UI_Ascension_Force_TheHatchet_Rewards	Requires: 1 <font color='e67f7f' size='20' face='Averia Serif'>Force</font>.<br>Completion grants: 3 <font color='e67f7f' size='20' face='Averia Serif'>Force</font>, 2 <font color='beb3ff' size='20' face='Averia Serif'>Entropy</font>.
AMER_UI_Ascension_Force_TheHatchet_Node_0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font>+5% Air Resistance.<br><font color='ebc808' size='21'>2) </font>+5% Fire Resistance.<br><font color='ebc808' size='21'>3) </font>+1% Physical Resistance.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_0.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +5% Air Resistance.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_0.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +5% Fire Resistance.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_0.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1% Physical Resistance.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Gain:</font><br><font color='cb9780'>  »</font> +1% Accuracy.<br><br><font color='a8a8a8' size='21' face='Averia Serif'>Additionally, you may choose from:</font><br><font color='ebc808' size='21'>1) </font>+1 Aerotheurge.<br><font color='ebc808' size='21'>2) </font>+1 Huntsman.<br><font color='ebc808' size='21'>3) </font>+1 Pyrokinetic.<br><font color='ebc808' size='21'>4) </font>+1 Scoundrel.<br><font color='ebc808' size='21'>5) </font>+1 Warfare.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_1.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Aerotheurge.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_1.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Huntsman.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_1.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Pyrokinetic.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_1.3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Scoundrel.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_1.4	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Warfare.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Gain:</font><br><font color='cb9780'>  »</font> +2% Accuracy.<br><br><font color='a8a8a8' size='21' face='Averia Serif'>Additionally, you may choose from:</font><br><font color='ebc808' size='21'>1) </font>+1 Dual Wielding.<br><font color='ebc808' size='21'>2) </font>+1 Ranged.<br><font color='ebc808' size='21'>3) </font>+1 Single-Handed.<br><font color='ebc808' size='21'>4) </font>+1 Two-Handed.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_2.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Dual Wielding.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_2.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Ranged.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_2.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Single-Handed.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_2.3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Two-Handed.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font><font color="ebc808" size="20" face="Averia Serif">Paucity</font> activates when you reach Battered or Harried 7 and above.<br><font color='ebc808' size='21'>2) </font>Activate <font color="ebc808" size="20" face="Averia Serif">Violent Strike</font> when you reach 0 AP.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_3.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> <font color="ebc808" size="20" face="Averia Serif">Paucity</font> activates when you reach Battered or Harried 7 and above.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_3.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> Activate <font color="ebc808" size="20" face="Averia Serif">Violent Strike</font> when you reach 0 AP.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_4	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font><font color="ebc808" size="20" face="Averia Serif">Paucity</font> reduces the penalty of dodge fatigue by 5%.<br><font color='cb9780'>  »</font> +2% Dodge Chance.<br><font color='ebc808' size='21'>2) </font><font color="ebc808" size="20" face="Averia Serif">Violent Strike</font> applies Acid for 2 turns.<br><font color='ebc808' size='21'>3) </font><font color="ebc808" size="20" face="Averia Serif">Violent Strike</font> applies Bleeding for 2 turns.<br><font color='ebc808' size='21'>4) </font><font color="ebc808" size="20" face="Averia Serif">Violent Strike</font> applies Suffocating for 2 turns.<br><font color='ebc808' size='21'>5) </font><font color="ebc808" size="20" face="Averia Serif">Violent Strike</font> applies up to Terrified II for 1 turn.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_4.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> <font color="ebc808" size="20" face="Averia Serif">Paucity</font> reduces the penalty of dodge fatigue by 5%.<br><font color='cb9780'>»</font> +2% Dodge Chance.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_4.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> <font color="ebc808" size="20" face="Averia Serif">Violent Strike</font> applies Acid for 2 turns.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_4.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> <font color="ebc808" size="20" face="Averia Serif">Violent Strike</font> applies Bleeding for 2 turns.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_4.3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> <font color="ebc808" size="20" face="Averia Serif">Violent Strike</font> applies Suffocating for 2 turns.</p>
AMER_UI_Ascension_Force_TheHatchet_Node_4.4	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> <font color="ebc808" size="20" face="Averia Serif">Violent Strike</font> applies up to Terrified II for 1 turn.</p>
AMER_UI_Ascension_Force_TheHornet_Title	<font color='ebc808' size='30'>The Hornet</font>
AMER_UI_Ascension_Force_TheHornet_Desc_A	"The hive’s relentless fury."<br><br><font color='a8a8a8' size='21' face='Averia Serif'>Click on a node to view its properties.</font>
AMER_UI_Ascension_Force_TheHornet_Rewards	Requires: 1 <font color='e67f7f' size='20' face='Averia Serif'>Force</font>.<br>Completion grants: 3 <font color='e67f7f' size='20' face='Averia Serif'>Force</font>, 1 <font color='c1a757' size='20' face='Averia Serif'>Life</font>.
AMER_UI_Ascension_Force_TheHornet_Node_0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Gain:</font><br><font color='cb9780'>  »</font> +2% Air Resistance.<br><br><font color='a8a8a8' size='21' face='Averia Serif'>Additionally, you may choose from:</font><br><font color='ebc808' size='21'>1) </font>+1 Finesse.<br><font color='ebc808' size='21'>2) </font>+1 Power.<br><font color='ebc808' size='21'>3) </font>+1 Strength.<br><font color='ebc808' size='21'>4) </font>+1 Wits.</p>
AMER_UI_Ascension_Force_TheHornet_Node_0.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Finesse.</p>
AMER_UI_Ascension_Force_TheHornet_Node_0.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Power.</p>
AMER_UI_Ascension_Force_TheHornet_Node_0.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Strength.</p>
AMER_UI_Ascension_Force_TheHornet_Node_0.3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Wits.</p>
AMER_UI_Ascension_Force_TheHornet_Node_1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Gain:</font><br><font color='cb9780'>  »</font> +1 Initiative.<br><br><font color='a8a8a8' size='21' face='Averia Serif'>Additionally, you may choose from:</font><br><font color='ebc808' size='21'>1) </font>+4% Accuracy.<br><font color='ebc808' size='21'>2) </font>+3% Critical Chance.<br><font color='ebc808' size='21'>3) </font>+7% Damage.<br><font color='ebc808' size='21'>4) </font>+0.4 Movement Speed.</p>
AMER_UI_Ascension_Force_TheHornet_Node_1.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +4% Accuracy.</p>
AMER_UI_Ascension_Force_TheHornet_Node_1.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +3% Critical Chance.</p>
AMER_UI_Ascension_Force_TheHornet_Node_1.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +7% Damage.</p>
AMER_UI_Ascension_Force_TheHornet_Node_1.3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +0.4 Movement Speed.</p>
AMER_UI_Ascension_Force_TheHornet_Node_2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font>When you perform All-In, Flurry, or Sucker Punch, gain the The Pawn talent for 1 turn.<br><font color='ebc808' size='21'>2) </font>When you perform Staff of Magus, gain the Savage Sortilege talent until your next turn.<br><font color='ebc808' size='21'>3) </font>+7% Accuracy.</p>
AMER_UI_Ascension_Force_TheHornet_Node_2.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> When you perform All-In, Flurry, or Sucker Punch, gain the The Pawn talent for 1 turn.</p>
AMER_UI_Ascension_Force_TheHornet_Node_2.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> When you perform Staff of Magus, gain the Savage Sortilege talent until your next turn.</p>
AMER_UI_Ascension_Force_TheHornet_Node_2.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +7% Accuracy.</p>
AMER_UI_Ascension_Force_TheSerpent_Title	<font color='ebc808' size='30'>The Serpent</font>
AMER_UI_Ascension_Force_TheSerpent_Desc_A	"Power shaped by subtlety cloaked in cunning."<br><br><font color='a8a8a8' size='21' face='Averia Serif'>Click on a node to view its properties.</font>
AMER_UI_Ascension_Force_TheSerpent_Rewards	Requires: 1 <font color='e67f7f' size='20' face='Averia Serif'>Force</font>.<br>Completion grants: 3 <font color='e67f7f' size='20' face='Averia Serif'>Force</font>, 1 <font color='beb3ff' size='20' face='Averia Serif'>Entropy</font>.
AMER_UI_Ascension_Force_TheSerpent_Node_0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Gain:</font><br><font color='cb9780'>  »</font> +3% Fire Resistance.<br><br><font color='a8a8a8' size='21' face='Averia Serif'>Additionally, you may choose from:</font><br><font color='ebc808' size='21'>1) </font>+1 Finesse.<br><font color='ebc808' size='21'>2) </font>+1 Power.<br><font color='ebc808' size='21'>3) </font>+1 Strength.<br><font color='ebc808' size='21'>4) </font>+1 Wits.</p>
AMER_UI_Ascension_Force_TheSerpent_Node_0.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Finesse.</p>
AMER_UI_Ascension_Force_TheSerpent_Node_0.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Power.</p>
AMER_UI_Ascension_Force_TheSerpent_Node_0.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Strength.</p>
AMER_UI_Ascension_Force_TheSerpent_Node_0.3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Wits.</p>
AMER_UI_Ascension_Force_TheSerpent_Node_1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font>+6% Accuracy.<br><font color='ebc808' size='21'>2) </font>+4% Critical Chance.<br><font color='ebc808' size='21'>3) </font>+10% Damage.<br><font color='ebc808' size='21'>4) </font>+0.6 Movement Speed.</p>
AMER_UI_Ascension_Force_TheSerpent_Node_1.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +6% Accuracy.</p>
AMER_UI_Ascension_Force_TheSerpent_Node_1.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +4% Critical Chance.</p>
AMER_UI_Ascension_Force_TheSerpent_Node_1.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +10% Damage.</p>
AMER_UI_Ascension_Force_TheSerpent_Node_1.3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +0.6 Movement Speed.</p>
AMER_UI_Ascension_Force_TheSerpent_Node_2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font>When you perform All-In, Flurry, or Sucker Punch, gain the Inconspicuous talent for 1 turn.<br><font color='ebc808' size='21'>2) </font>When you perform Staff of Magus, gain the Savage Sortilege talent until your next turn.<br><font color='ebc808' size='21'>3) </font>+3% Critical Chance.<br><font color='cb9780'>  »</font> +5% Damage.</p>
AMER_UI_Ascension_Force_TheSerpent_Node_2.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> When you perform All-In, Flurry, or Sucker Punch, gain the Inconspicuous talent for 1 turn.</p>
AMER_UI_Ascension_Force_TheSerpent_Node_2.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> When you perform Staff of Magus, gain the Savage Sortilege talent until your next turn.</p>
AMER_UI_Ascension_Force_TheSerpent_Node_2.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +3% Critical Chance.<br><font color='cb9780'>»</font> +5% Damage.</p>
AMER_UI_Ascension_Life_TheBeetle_Title	<font color='ebc808' size='30'>The Beetle</font>
AMER_UI_Ascension_Life_TheBeetle_Desc_A	"Oneness of weapon and armor."<br><br><font color='a8a8a8' size='21' face='Averia Serif'>Click on a node to view its properties.</font>
AMER_UI_Ascension_Life_TheBeetle_Rewards	Requires: 1 <font color='c1a757' size='20' face='Averia Serif'>Life</font>.<br>Completion grants: 1 <font color='e67f7f' size='20' face='Averia Serif'>Force</font>, 3 <font color='c1a757' size='20' face='Averia Serif'>Life</font>.
AMER_UI_Ascension_Life_TheBeetle_Node_0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Gain:</font><br><font color='cb9780'>  »</font> +1 Initiative.<br><br><font color='a8a8a8' size='21' face='Averia Serif'>Additionally, you may choose from:</font><br><font color='ebc808' size='21'>1) </font>+1 Constitution.<br><font color='ebc808' size='21'>2) </font>+1 Finesse.<br><font color='ebc808' size='21'>3) </font>+1 Memory.<br><font color='ebc808' size='21'>4) </font>+1 Power.</p>
AMER_UI_Ascension_Life_TheBeetle_Node_0.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Constitution.</p>
AMER_UI_Ascension_Life_TheBeetle_Node_0.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Finesse.</p>
AMER_UI_Ascension_Life_TheBeetle_Node_0.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Memory.</p>
AMER_UI_Ascension_Life_TheBeetle_Node_0.3	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Power.</p>
AMER_UI_Ascension_Life_TheBeetle_Node_1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font>+6% Dodge Chance.<br><font color='ebc808' size='21'>2) </font>+5% Maximum Vitality.<br><font color='ebc808' size='21'>3) </font>+5% missing Vitality Regen (50% max).<br><font color='cb9780'>  »</font> +5% missing Physical Armor Regen (50% max).<br><font color='ebc808' size='21'>4) </font>+0.4 Movement Speed.<br><font color='cb9780'>  »</font> +5% missing Physical Armor Regen (50% max).</p>
AMER_UI_Ascension_Life_TheBeetle_Node_1.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +6% Dodge Chance.</p>
AMER_UI_Ascension_Life_TheBeetle_Node_1.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +5% Maximum Vitality.</p>
AMER_UI_Ascension_Life_TheBeetle_Node_1.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +5% missing Vitality Regen (50% max).<br><font color='cb9780'>»</font> +5% missing Physical Armor Regen (50% max).</p>
